MAE Nivel 1 método final,MRE Nivel 1 Método final,MAE Nivel 1 método experimental,MRE Nivel 1 Método experimental,MAE Nivel 1 método integral,MRE Nivel 1 Método integral,MAE Nivel 1 método picos,MRE Nivel 1 Método picos,MAE Nivel 2 método final,MRE Nivel 2 Método final,MAE Nivel 2 método experimental,MRE Nivel 2 Método experimental,MAE Nivel 2 método integral,MRE Nivel 2 Método integral,MAE Nivel 2 método picos,MRE Nivel 2 Método picos,MAE Nivel 3 método final,MRE Nivel 3 Método final,MAE Nivel 3 método experimental,MRE Nivel 3 Método experimental,MAE Nivel 3 método integral,MRE Nivel 3 Método integral,MAE Nivel 3 método picos,MRE Nivel 3 Método picos,MAE Nivel 4 método final,MRE Nivel 4 Método final,MAE Nivel 4 método experimental,MRE Nivel 4 Método experimental,MAE Nivel 4 método integral,MRE Nivel 4 Método integral,MAE Nivel 4 método picos,MRE Nivel 4 Método picos,MAE total método final,MRE total Método final,MAE total método experimental,MRE total Método experimental,MAE total método integral,MRE total Método integral,MAE total método picos,MRE total Método picos
0.21,9.65,0.18,8.77,0.18,8.77,0.87,71.49,1.62,32.13,1.17,20.35,1.17,20.35,2.41,47.15,3.24,16.59,3.1,15.44,1.57,8.01,3.1,15.44,4.11,14.37,4.11,14.37,3.63,11.53,4.11,14.37,1.88,17.94,1.72,14.21,1.34,12.25,2.3,43.75
0.23,10.0,0.2,8.89,0.2,8.89,0.77,51.11,1.08,18.33,1.29,19.71,1.21,18.78,1.92,33.3,4.45,24.77,4.62,26.49,1.72,10.3,4.52,25.46,2.12,7.23,2.12,7.23,4.62,14.49,2.12,7.23,1.99,15.25,2.07,15.72,1.83,12.75,2.35,30.32
0.21,12.64,0.21,12.64,0.21,12.64,0.97,64.94,1.22,23.51,0.83,14.8,0.83,14.8,1.52,28.66,2.15,13.83,2.46,16.6,1.65,11.24,2.42,16.21,3.28,11.7,3.28,11.7,3.1,10.22,3.28,11.7,1.73,15.01,1.72,13.81,1.48,12.11,2.07,30.87
0.25,13.69,0.25,13.69,0.25,13.69,0.68,47.02,1.16,22.87,0.9,16.18,0.9,16.18,1.68,29.8,4.12,22.48,4.16,23.13,2.16,12.17,4.16,23.13,2.43,8.76,2.43,8.76,2.48,8.45,2.43,8.76,1.89,17.34,1.82,15.56,1.36,12.93,2.16,28.23
0.13,6.58,0.13,6.58,0.13,6.58,1.03,75.44,1.32,24.33,1.2,20.36,1.0,17.92,1.52,26.55,3.67,21.59,3.38,19.58,1.92,12.28,3.38,19.58,3.25,11.49,3.25,11.49,2.25,7.62,3.25,11.49,1.79,15.01,1.69,13.63,1.13,10.7,2.08,39.53
0.35,16.67,0.26,13.77,0.26,13.77,1.0,65.22,1.29,22.96,0.91,14.87,0.86,14.24,1.63,29.39,4.04,20.76,4.11,21.25,1.96,11.23,4.11,21.25,2.76,9.87,2.76,9.87,2.14,7.1,2.76,9.87,2.09,18.46,1.97,15.32,1.27,11.95,2.36,31.13
0.26,11.73,0.22,10.49,0.22,10.49,0.7,47.53,1.25,23.07,1.44,24.71,1.12,21.19,1.88,32.1,3.05,16.89,2.95,16.41,2.0,12.03,2.95,16.41,2.18,7.95,2.18,7.95,1.91,6.51,2.18,7.95,1.72,16.52,1.73,16.53,1.28,13.82,1.98,28.08
0.24,11.11,0.24,11.11,0.24,11.11,0.95,63.49,1.19,23.8,1.0,18.64,1.03,18.95,2.36,45.1,4.0,20.23,4.04,20.56,2.0,11.37,4.04,20.56,2.83,9.84,2.83,9.84,2.88,9.32,2.83,9.84,2.06,17.31,2.0,15.66,1.52,13.41,2.6,34.84
0.33,15.56,0.3,14.44,0.3,14.44,0.67,47.78,0.89,18.31,0.89,16.77,0.89,16.77,1.7,31.6,2.9,16.06,2.93,16.51,2.0,11.84,2.93,16.51,3.3,11.48,3.3,11.48,3.45,11.41,3.3,11.48,1.75,15.63,1.75,15.06,1.51,13.74,2.06,28.14
0.22,12.32,0.17,10.14,0.17,10.14,0.96,82.61,1.46,27.05,0.88,14.51,0.65,11.63,2.0,38.68,3.71,22.18,3.71,22.4,2.06,12.36,3.71,22.4,4.48,15.97,4.48,15.97,3.57,11.3,4.48,15.97,2.58,19.91,2.43,16.47,1.64,11.48,2.87,37.92
0.29,10.29,0.24,8.33,0.24,8.33,0.85,71.08,1.62,30.6,1.1,18.27,0.97,16.74,1.55,28.59,3.17,18.6,3.21,19.01,2.0,12.46,3.21,19.01,2.67,9.2,2.67,9.2,4.13,13.19,2.67,9.2,1.77,17.89,1.62,14.04,1.46,12.41,1.93,36.78
